PATH;/System/Characts/bcpg:entityLists/Ings;;;;;
TYPE;bcpg:ing;;;;;
COLUMNS;cm:name;bcpg:ingType;bcpg:ingCEECode;bcpg:legalName;bcpg:legalname_en;bcpg:isDeleted
;;;;;;
#;http://passion-cuisine.skynetblogs.be/archive/2008/01/05/les-parties-du-boeuf.html;;;;;
VALUES;Entrecôte de boeuf;Ingrédient;;Entrecôte de boeuf;Beef steak;false
VALUES;Faux-filet ou filet de boeuf;Ingrédient;;Faux-filet ou filet de boeuf;Beef sirloin or tenderloin;false
VALUES;Rumsteck de boeuf;Ingrédient;;Rumsteck de boeuf;Beef rump;false
VALUES;Culotte de boeuf;Ingrédient;;Culotte de boeuf;Beef panties;false
VALUES;Gîte de boeuf;Ingrédient;;Gîte de boeuf;Beef cottage;false
VALUES;Tranche grasse et aiguillette de boeuf;Ingrédient;;Tranche grasse et aiguillette de boeuf;Beef knuckle and lanyard;false
VALUES;Paleron de boeuf;Ingrédient;;Paleron de boeuf;Beef chuck;false
VALUES;Macreuse de boeuf;Ingrédient;;Macreuse de boeuf;Beef scoter;false
VALUES;Talon de boeuf;Ingrédient;;Talon de boeuf;Beef heel;false
VALUES;Griffe de boeuf;Ingrédient;;Griffe de boeuf;Beef claw;false
VALUES;Bavette de boeuf;Ingrédient;;Bavette de boeuf;Beef steak;false
VALUES;Collier de boeuf;Ingrédient;;Collier de boeuf;Beef necklace;false
VALUES;Poitrine de boeuf;Ingrédient;;Poitrine de boeuf;Beef chest;false
VALUES;Crosse de boeuf;Ingrédient;;Crosse de boeuf;Beef stick;false
VALUES;Gîte avant de boeuf;Ingrédient;;Gîte avant de boeuf;Beef before bed;false
VALUES;Plat de côtes de boeuf;Ingrédient;;Plat de côtes de boeuf;Beef short ribs;false
VALUES;Poitrine de boeuf;Ingrédient;;Poitrine de boeuf;Beef chest;false
VALUES;Tendron de boeuf;Ingrédient;;Tendron de boeuf;Beef brisket;false
VALUES;Flanchet de boeuf;Ingrédient;;Flanchet de boeuf;Beef flank;false
VALUES;Gîte arrière de boeuf;Ingrédient;;Gîte arrière de boeuf;Beef back heel;false
VALUES;Cervelle de boeuf;Ingrédient;;Cervelle de boeuf;Beef brain;false
VALUES;Coeur de boeuf;Ingrédient;;Coeur de boeuf;Beef heart;false
VALUES;Foie de boeuf;Ingrédient;;Foie de boeuf;Beef liver;false
VALUES;Langue de boeuf;Ingrédient;;Langue de boeuf;Beef tongue;false
VALUES;Rognons de boeuf;Ingrédient;;Rognons de boeuf;Beef kidney;false
VALUES;Tête de boeuf;Ingrédient;;Tête de boeuf;Beef head;false
VALUES;Tripes de boeuf;Ingrédient;;Tripes de boeuf;Beef tripe;false
;;;;;;false
VALUES;Carré couvert de mouton;Ingrédient;;Carré couvert de mouton;Sheep rack;false
VALUES;Filet de mouton;Ingrédient;;Filet de mouton;Sheep netting;false
VALUES;Selle de mouton;Ingrédient;;Selle de mouton;Lamb saddle;false
VALUES;Gigot de mouton;Ingrédient;;Gigot de mouton;Mouton lamb;false
VALUES;Carré découvert de mouton;Ingrédient;;Carré découvert de mouton;Mouton square discovered;false
VALUES;Épaule de mouton;Ingrédient;;Épaule de mouton;Lamb shoulder;false
VALUES;Collier de mouton;Ingrédient;;Collier de mouton;Mouton collar;false
VALUES;Haut de côtelettes de mouton;Ingrédient;;Haut de côtelettes de mouton;Mutton chops up;false
VALUES;Poitrine de mouton;Ingrédient;;Poitrine de mouton;Mouton chest;false
VALUES;Cervelle de mouton;Ingrédient;;Cervelle de mouton;Sheep brains;false
VALUES;Coeur de mouton;Ingrédient;;Coeur de mouton;Sheep heart;false
VALUES;Foie de mouton;Ingrédient;;Foie de mouton;Sheep liver;false
VALUES;Langue de mouton;Ingrédient;;Langue de mouton;Mouton tongue;false
VALUES;Rognons de mouton;Ingrédient;;Rognons de mouton;Sheep kidney;false
;;;;;;false
VALUES;Côtes secondes de veau;Ingrédient;;Côtes secondes de veau;Veal rib seconds;false
VALUES;Côtes premières de veau;Ingrédient;;Côtes premières de veau;Veal ribs first;false
VALUES;Longe de veau;Ingrédient;;Longe de veau;Veal loin;false
VALUES;Quasi et culotte de veau;Ingrédient;;Quasi et culotte de veau;Veal and panties almost;false
VALUES;"Cuisse ; noix, sous-noix de veau";Ingrédient;;"Cuisse ; noix, sous-noix de veau";Veal thigh nuts, nut sub-;false
VALUES;Côtes découvertes de veau;Ingrédient;;Côtes découvertes de veau;Veal ribs;false
VALUES;Épaule de veau;Ingrédient;;Épaule de veau;Veal shoulder;false
VALUES;Pied de veau;Ingrédient;;Pied de veau;Calf walk;false
VALUES;Tendron de veau;Ingrédient;;Tendron de veau;Veal brisket;false
VALUES;Flanchet de veau;Ingrédient;;Flanchet de veau;Veal flank;false
VALUES;Jarret de veau;Ingrédient;;Jarret de veau;Veal shank;false
VALUES;Poitrine de veau;Ingrédient;;Poitrine de veau;Veal breast;false
VALUES;Collier de veau;Ingrédient;;Collier de veau;Veal necklace;false
