STOP_ON_FIRST_ERROR;false;;;;;
PATH;/Qualité/Réglementation/Critères microbiologiques;;;;;
TYPE;bcpg:productMicrobioCriteria;;;;;
MAPPING;Products;;;;;
COLUMNS;cm:name;bcpg:code;;;;
VALUES;Crèmes glacée à base de lait, produits glacés à base de lait, desserts lactés congelés, sorbets;1;;;;
VALUES;Pâtisseries cuites;2;;;;
VALUES;Pâtisseries non cuites;3;;;;
;;;;;;
;;;;;;
STOP_ON_FIRST_ERROR;false;;;;;
IMPORT_TYPE;EntityListItem;;;;;
TYPE;bcpg:microbioList;;;;;
MAPPING;Products;;;;;
COLUMNS;bcpg:code;bcpg:mblMicrobio;bcpg:mblValue;bcpg:mblUnit;bcpg:mblMaxi;bcpg:mblTextCriteria
VALUES;1;Germes totaux;100 000;;1 000 000;
VALUES;1;Entérobactéries;10;;100;
VALUES;1;Coliformes thermotolérants;;;;
VALUES;1;E. coli (*, en cas de contamination en CTh);;;;
VALUES;1;Staphylocoques aureus (1);10;;100;
VALUES;1;Listéria;-1;/25g;-1;
VALUES;1;Salmonella;-1;/25g;-1;
;;;;;;
;;;;;;
VALUES;2;Germes totaux;100 000;;1 000 000;
VALUES;2;Coliformes totaux;1 000;;10 000;
VALUES;2;Coliformes thermotolérants;;;;
VALUES;2;E. coli (*, en cas de contamination en CTh);10;;100;
VALUES;2;Staphylocoques aureus (1);100;;1 000;
VALUES;2;Listéria;-1;/25g;-1;
VALUES;2;Salmonella;-1;/25g;-1;
VALUES;2;Bacillus cereus (1);100;;1 000;
VALUES;2;Anaérobies sulfito-réducteurs (1);10;;100;
VALUES;2;Levures et moisissures (**);1 000;;10 000;
;;;;;;
;;;;;;
VALUES;3;Germes totaux;100 000;;1 000 000;
VALUES;3;Coliformes totaux;1 000;;10 000;
VALUES;3;Coliformes thermotolérants;1;;10;
VALUES;3;E. coli (*, en cas de contamination en CTh);10;;100;
VALUES;3;Staphylocoques aureus (1);100;;1 000;
VALUES;3;Listéria;-1;/25g;-1;
VALUES;3;Salmonella;-1;/25g;-1;
VALUES;3;Bacillus cereus (1);100;;1 000;
VALUES;3;Anaérobies sulfito-réducteurs (1);10;;100;
VALUES;3;Flore lactique (1);;;;à rechercher
VALUES;3;Rapport Flore / Lactique (***);100;;100;
