"#";"http://www.saveursdumonde.net/";
"PATH";"/System/Characts/bcpg:entityLists/BioOrigins";
"TYPE";"bcpg:bioOrigin";
"COLUMNS";"cm:name";"bcpg:bioOriginType"
"VALUES";"Apricot";"Fruit and Nut"
"VALUES";"Almond";"Fruit and Nut"
"VALUES";"Arbutus";"Fruit and Nut"
"VALUES";"Cranberry";"Fruit and Nut"
"VALUES";"Carambola";"Fruit and Nut"
"VALUES";"Cassis";"Fruit and Nut"
"VALUES";"Cherry";"Fruit and Nut"
"VALUES"; "Chadec";"Fruit and Nut"
"VALUES"; "cloudberry";"Fruit and Nut"
"VALUES";"Chestnut / Brown";"Fruit and Nut"
"VALUES";"Quince";"Fruit and Nut"
"VALUES"; "Soursop";"Fruit and Nut"
"VALUES";"Dates";"Fruit and Nut"
"VALUES";"Dourian";"Fruit and Nut"
"VALUES";"fig";"Fruit and Nut"
"VALUES";"Strawberry";"Fruit and Nut"
"VALUES";"Raspberry";"Fruit and Nut"
"VALUES";"Passion Fruit";"Fruit and Nut"
"VALUES";"Guava";"Fruit and Nut"
"VALUES";"Currant";"Fruit and Nut"
"VALUES";"jackfruit";"Fruit and Nut"
"VALUES";"Khaki";"Fruit and Nut"
"VALUES";"Kiwi";"Fruit and Nut"
"VALUES";"Litchi";"Fruit and Nut"
"VALUES";"Longan";"Fruit and Nut"
"VALUES"; "Macadamia";"Fruit and Nut"
"VALUES";"Mango";"Fruit and Nut"
"VALUES";"Blueberry";"Fruit and Nut"
"VALUES";"Nectarine"; "Fruit and Nut"
"VALUES";"Nuts";"Fruit and Nut"
"VALUES";"Pecan";"Fruit and Nut"
"VALUES";"Papaya";"Fruit and Nut"
"VALUES"; "Physalis";"Fruit and Nut"
"VALUES";"Pimpin / Vacoa / Pandanus";"Fruit and Nut"
"VALUES";"Pomegranate";"Fruit and Nut"
"VALUES";"Fishing";"Fruit and Nut"
"VALUES";"Rhubarb";"Fruit and Nut"
"VALUES"; "Sapodilla";"Fruit and Nut"
"VALUES";"Grapes";"Fruit and Nut"
"VALUES";"Mirabelle";"Fruit and Nut"
"VALUES";"Plum";"Fruit and Nut"
"VALUES";"Pruneau d'Agen";"Fruit and Nut"
"VALUES";"Plum";"Fruit and Nut"
"VALUES";"Reine Claude";"Fruit and Nut"
"VALUES";"Banana";"Fruit and Nut"
"VALUES";"Pears";"Fruit and Nut"
"VALUES";"Apples";"Fruit and Nut"
"VALUES";"Melon";"Fruit and Nut"
"VALUES";"Citrus";"Fruit and Nut"
"VALUES";"Lemon";"Fruit and Nut"
"VALUES";"Clementine";"Fruit and Nut"
"VALUES"; "combawa or Combava";"Fruit and Nut"
"VALUES";"Citron";"Fruit and Nut"
"VALUES";"Kumquat";"Fruit and Nut"
"VALUES";"Hand of Buddha";"Fruit and Nut"
"VALUES";"Tangerine";"Fruit and Nut"
"VALUES";"Orange";"Fruit and Nut"
"VALUES";"Grapefruit";"Fruit and Nut"
"VALUES";"Grapefruit";"Fruit and Nut"
"VALUES";"Coconut milk";"Fruit and Nut"
"VALUES";"Coconut";"Fruit and Nut"
"VALUES";"Strawberry";"Fruit and Nut"
"VALUES";"Pineapple";"Fruit and Nut"
;;
"VALUES";"Peanut";"Vegetable"
"VALUES";"Arrowroot";"Vegetable"
"VALUES";"Bamboo (shoot ...)";"Vegetable"
"VALUES";"Broccoli";"Vegetable"
"VALUES";"Carrot";"Vegetable"
"VALUES"; "Chayote";"Vegetable"
"VALUES";"Water Chestnut";"Vegetable"
"VALUES";"Cucumber";"Vegetable"
